"account_name","money_spent","classification"
"Comcast",12868.38,"LOW"
"Northwestern Mutual",11862.92,"LOW"
"Air Products & Chemicals",11814.55,"LOW"
"General Electric",11743.47,"LOW"
"Plains GP Holdings",11531.70,"LOW"
"DTE Energy",11501.84,"LOW"
"AbbVie",11243.63,"LOW"
"Hertz Global Holdings",10959.77,"LOW"
"World Fuel Services",10833.11,"LOW"
"Marriott International",10779.77,"LOW"
"PVH",10699.35,"LOW"
"UPS",10678.77,"LOW"
"MasterCard",10555.35,"LOW"
"PBF Energy",10535.88,"LOW"
"HCA Holdings",10323.23,"LOW"
"Autoliv",10282.96,"LOW"
"Reinsurance Group of America",10264.51,"LOW"
"Dollar Tree",10212.06,"LOW"
"Reliance Steel & Aluminum",10187.64,"LOW"
"Waste Management",10067.87,"LOW"
"General Motors",9995.05,"LOW"
"AIG",9980.93,"LOW"
"Western Refining",9855.41,"LOW"
"WellCare Health Plans",9743.13,"LOW"
"CBRE Group",9715.71,"LOW"
"Newmont Mining",9618.81,"LOW"
"Macy's",9613.32,"LOW"
"Devon Energy",9536.55,"LOW"
"Apple",9341.65,"LOW"
"Eli Lilly",9339.20,"LOW"
"Xerox",8759.93,"LOW"
"CBS",8648.07,"LOW"
"Dow Chemical",8431.81,"LOW"
"W.W. Grainger",8384.61,"LOW"
"Publix Super Markets",8364.40,"LOW"
"Danaher",8133.47,"LOW"
"TIAA",7971.51,"LOW"
"Corning",7940.37,"LOW"
"MetLife",7615.47,"LOW"
"Berkshire Hathaway",7474.32,"LOW"
"C.H. Robinson Worldwide",7460.32,"LOW"
"ManpowerGroup",7313.08,"LOW"
"Cardinal Health",7210.91,"LOW"
"Sonic Automotive",7192.13,"LOW"
"Advance Auto Parts",6962.07,"LOW"
"Liberty Interactive",6497.70,"LOW"
"Genworth Financial",6402.38,"LOW"
"Tenneco",5739.63,"LOW"
"Veritiv",5735.41,"LOW"
"Rite Aid",5616.90,"LOW"
"NextEra Energy",5321.23,"LOW"
"Universal Health Services",5269.51,"LOW"
"Stryker",4521.36,"LOW"
"Fannie Mae",3780.53,"LOW"
"J.C. Penney",3253.04,"LOW"
"Applied Materials",3093.95,"LOW"
"Mohawk Industries",3025.65,"LOW"
"Oneok",2844.46,"LOW"
"Exxon Mobil",2734.59,"LOW"
"Consolidated Edison",2674.04,"LOW"
"Lennar",2670.97,"LOW"
"Loews",2566.22,"LOW"
"Lockheed Martin",2440.31,"LOW"
"Micron Technology",2438.51,"LOW"
"Sherwin-Williams",2372.95,"LOW"
"INTL FCStone",2372.11,"LOW"
"Bank of New York Mellon Corp.",2155.98,"LOW"
"Priceline Group",2129.24,"LOW"
"Ball",1982.74,"LOW"
"Assurant",1235.81,"LOW"
"Las Vegas Sands",1113.29,"LOW"
"Deere",1036.57,"LOW"
"Delta Air Lines",859.64,"LOW"
"Nike",390.25,"LOW"
